name,submitted_name,homepage_url,jurisdiction_type,state_iso,municipality,county_fips,county_name,lat,lng,defunct_year,airtable_uid
Stockbridge-Munsee Tribal Department. of Public Safety - WI,Stockbridge-Munsee Tribal Department. of Public Safety,,local,WI,Bowler,55115,['Shawano'],,,,rec0NZJQpCLbFcFTx
South Carolina Department of Probation Parole and Pardon Services (SCDPPPS) - SC,South Carolina Department of Probation Parole and Pardon Services (SCDPPPS),http://www.dppps.sc.gov/,local,SC,Marion,45067,['Marion'],34.19379,-79.39798,,rec0NcIkE4zSoCqIl
Polk County Sheriff's Office Human Resources Division - FL,Polk County Sheriff's Office Human Resources Division,https://www.polk-county.net/equity-and-human-resources,county,FL,Bartow,12105,['Polk'],27.90495,-81.8385,,rec0NcwvByndbWQMq
Talladega City Police Department - AL,Talladega City Police Department,http://www.talladega.com/Default.asp?ID=95&pg=Police+Department,local,AL,Talladega,01121,['Talladega'],33.43272,-86.10387,,rec0NgVd7AAjVFfo2
Baker Police Department - LA,Baker Police Department,http://cityofbakerla.com/wp/police-department/,local,LA,Baker,22033,['East Baton Rouge'],30.589323,-91.16495,,rec0NoTFgjrIo4lol
Office of the United States Marshal for the Western District of Texas - TX,Office of the United States Marshal for the Western District of Texas,https://www.usmarshals.gov/district/tx-w/,state,TX,,,,,,,rec0O1603LdZhOGZf
Elsmere Police Department - KY,Elsmere Police Department,https://cityofelsmere.com/elsmere-police-department/,local,KY,Erlanger,21117,['Kenton'],39.006077,-84.614296,,rec0ODicq4fI9TNJY
Bothell Police Department - WA,Bothell Police Department,http://www.ci.bothell.wa.us/266/Police-Department,local,WA,La Push,53033,['King'],,,,rec0OLFUJneupsi1c
Monroe County Sheriff's Department - TN,Monroe County Sheriff's Department,http://monroetnsheriff.com/,county,TN,Madisonville,47123,['Monroe'],35.52168,-84.36192,,rec0OPmR7Qu8ShGqf
Andale Police Department - MN,Andale Police Department,http://www.andalepolice.com/,local,MN,Annandale,27171,['Wright'],45.26386,-94.12321,,rec0OSLVBtdB3OW4M
La Jara Police Department - CO,La Jara Police Department,https://townoflajara.colorado.gov/la-jara-police-dept,local,CO,La Jara,08021,['Conejos'],37.27373,-105.9604,,rec0OfEQ71bSx0gvj
Morgantown Police Department - WV,Morgantown Police Department,https://www.morgantownwv.gov/217/Police-Department,local,WV,Morgantown,54061,['Monongalia'],39.65304,-79.96232,,rec0OkNKmPaQAHZy2
Hazel Park Police Department - MI,Hazel Park Police Department,http://www.hazelpark.org/i_want_to/police_department3.php,local,MI,Hazel Park,26125,['Oakland'],42.46202,-83.103455,,rec0P4kahWq3uHDP2
New Berlin Police Department - IL,New Berlin Police Department,https://www.newberlin.org/102/Police,local,IL,New Berlin,17167,['Sangamon'],39.724636,-89.91025,,rec0P51SNC7qOd8l6
Lower Allen Township Police Department - PA,Lower Allen Township Police Department,http://www.latwp.org/?page_id=2524,local,PA,Camp Hill,42041,['Cumberland'],40.22959,-76.918594,,rec0P7sJvyusx4Qu2
Finney County Sheriff's Office - KS,Finney County Sheriff's Office,https://www.finneycounty.org/81/Sheriffs-Office,county,KS,Garden City,20055,['Finney'],37.96761,-100.87603,,rec0PKM0Z3soZNBgi
Nassau County Sheriff's Office - FL,Nassau County Sheriff's Office,http://nassauso.com/,county,FL,Yulee,12089,['Nassau'],30.610796,-81.63266,,rec0PNoUZSdwLHxOG
Beaver Crossing Police Department - NE,Beaver Crossing Police Department,http://www.police-frequencies.com/nebraska/seward/beaver-crossing/,local,NE,Beaver Crossing,31159,['Seward'],40.77862,-97.28227,,rec0PUD6GZ5V2L5z9
Indiana University South Bend Police Department - IN,Indiana University South Bend Police Department,https://administration.iusb.edu/police/index.html,school,IN,Bloomington,,,,,,rec0PvT2KsBrIkeVd
West Union Police Department - OH,West Union Police Department,https://www.facebook.com/West-Union-Police-Department-892939957539292/,local,OH,West Union,39001,['Adams'],38.79741,-83.54344,,rec0Q2UE8sjhNj4Wp
Lacy Lakeview Police Department - TX,Lacy Lakeview Police Department,,local,TX,Waco,48309,['McLennan'],,,,rec0Q2zmwfXB6MYlw
Mamaroneck Village Police Department - NY,Mamaroneck Village Police Department,https://www.village.mamaroneck.ny.us/police-department,local,NY,Mamaroneck,36119,['Westchester'],40.94912,-73.734825,,rec0QFdGlbcDFFk1Y
Prairieville Township Police Department - MI,Prairieville Township Police Department,http://www.prairievilletwp-mi.org/TownshipPoliceDepartment.aspx,local,MI,Delton,26015,['Barry'],42.507687,-85.454315,,rec0QRkO4fPY7P6n4
Bridgeton Police Department - MO,Bridgeton Police Department,http://www.cityofbridgeton.com/police.php,local,MO,Bridgeton,29189,['St. Louis'],38.756733,-90.42342,,rec0QUVCP34jJw1TG
Ventura College - CA,Ventura College,,school,CA,Ventura,06111,['Ventura'],,,,rec0QznOoyhFfApL4
Covington County Sheriff's Office - AL,Covington County Sheriff's Office,http://www.covcounty.com/sheriff-department,county,AL,Andalusia,01039,['Covington'],31.31324,-86.50274,,rec0R95PWkExGsYth
LaGrange County Prosecutor's Office - IN,LaGrange County Prosecutor's Office,https://www.in.gov/ipac/find-your-prosecutor/lagrange-county-prosecutor-travis-glick/,county,IN,Lagrange,,,,,,rec0REEC3ZzVrsh1g
Luther Police Department - OK,Luther Police Department,http://townoflutherok.com/police-department/,local,OK,Luther,40109,['Oklahoma'],35.661816,-97.19577,,rec0RKVd56DJRIw1N
Garland City Marshal''s Office - TX,Garland City Marshal''s Office,,local,TX,Garland,48113,['Dallas'],,,,rec0RORbNOFo8b5z2
New Waterford Police Department - OH,New Waterford Police Department,,local,OH,New Waterford,39029,['Columbiana'],40.84586,-80.61381,,rec0RSuM4xNXzsygX
Trumansburg Police Department - NY,Trumansburg Police Department,https://trumansburg-ny.gov/departments/police/,local,NY,Trumansburg,36109,['Tompkins'],42.54138,-76.66082,,rec0RTXSdWNK33T17
Sheridan Police Department - AR,Sheridan Police Department,http://www.sheridanpolice.com/,local,AR,Sheridan,05053,['Grant'],34.30422,-92.39006,,rec0RUBzafZMyGWlf
Fowlerton Police Department - IN,Fowlerton Police Department,http://www.yellowbook.com/s/police-department/fowlerton-tx/,local,IN,Nineveh,18081,['Johnson'],39.3542,-86.10373,,rec0RgCMO3fmQIgRN
Union County Sheriff's Office - SD,Union County Sheriff's Office,http://unioncountysd.com/,county,SD,Elk Point,46127,['Union'],42.68575,-96.68301,,rec0RsscSLvmaCiyc
Village of Springville Police Department - NY,Village of Springville Police Department,https://www.villageofspringvilleny.com/police,local,NY,,,,,,,rec0RuDBY7tHOkDlC
Sebastopol Police Department - CA,Sebastopol Police Department,http://sebpd.com/,local,CA,Sebastopol,06097,['Sonoma'],38.404594,-122.82369,,rec0RvsfBVNOMkBnZ
Grover Police Department - NC,Grover Police Department,https://www.grover.org/86/Police-Department,local,NC,Grover,37045,['Cleveland'],35.169704,-81.44994,,rec0RzntEYUknb5g4
Oregon State Police Department Roseburg Patrol - OR,Oregon State Police Department Roseburg Patrol,https://www.oregon.gov/osp/osp/about/Pages/aboutusosp.aspx,state,OR,Roseburg,41019,['Douglas'],43.22637,-123.34558,,rec0SAqrb84P6F87e
Clever Police Department - MO,Clever Police Department,,local,MO,Clever,29043,['Christian'],,,,rec0SNVNcejWqkEnJ
Union City Borough Police Department - PA,Union City Borough Police Department,,local,PA,Union City,42049,['Erie'],,,,rec0SdkrgBdl1ZdGX
Wilmington Police Department - NC,Wilmington Police Department,https://www.wilmingtonnc.gov/departments/police-department,local,NC,Wilmington,37129,['New Hanover'],34.252872,-77.94168,,rec0SiQC10thT3H3j
Fries Police Department - VA,Fries Police Department,,local,VA,Fries,51077,['Grayson'],,,,rec0StGhJSwARcr7r
New York City Department of Sanitation Police (Special Officers) - NY,New York City Department of Sanitation Police (Special Officers),https://portal.311.nyc.gov/category/?id=311-14,local,NY,New York,36061,['New York'],40.785496,-73.94377,,rec0T6sgSZEgFDlHW
Lakeland Police Department - FL,Lakeland Police Department,http://www.lakelandgov.net/departments/lakeland-police-department/,local,FL,Lakeland,12105,['Polk'],28.036451,-81.9553,,rec0TQRi0SJL6WT05
Hawthorne Police Department - NJ,Hawthorne Police Department,,local,NJ,Hawthorne,34031,['Passaic'],40.9534,-74.15503,,rec0TSlVMm6uTBbrv
New Mexico Corrections Department - NM,New Mexico Corrections Department,https://www.newmexico.gov/other-affected-services/corrections-department/,local,NM,Santa Fe,,,,,,rec0TdcCFCZD0XLiw
War Police Department - WV,War Police Department,https://local.wv.gov/War/Pages/EmergencyServices.aspx,local,WV,War,54047,['McDowell'],37.33434,-81.6744,,rec0ThNCdRoXKcAIH
Alcorn County Sheriff's Office - MS,Alcorn County Sheriff's Office,http://alcorncounty.org/sheriff.aspx,county,MS,Corinth,28003,['Alcorn'],34.91047,-88.55171,,rec0TolbRfAyzpInD
Omak Police Department - WA,Omak Police Department,https://www.omakcity.com/police/custom-contact-page/police-contact-information,local,WA,Eatonville,53047,['Okanogan'],46.867172,-122.26853,,rec0Txuj8yagGZslE
Riverhead Town Police Department - NY,Riverhead Town Police Department,https://www.townofriverheadny.gov/pview.aspx?id=16988,local,NY,Riverhead,36103,['Suffolk'],40.92328,-72.65397,,rec0U2fA7YmRxteKM
Hialeah Gardens Police Department - FL,Hialeah Gardens Police Department,https://www.cityofhialeahgardens.com/departments/police,local,FL,Hialeah,12086,['Miami-Dade'],25.868858,-80.33849,,rec0UUMSE5POmhgOD
Cambria Township Police Department - PA,Cambria Township Police Department,https://www.facebook.com/cambriatownshippolice/,local,PA,Ebensburg,42021,['Cambria'],40.496,-78.7543,,rec0UWhmn0xfAyI6H
Braselton Police Department - GA,Braselton Police Department,https://www.braselton.net/departments/police_department/index.php,local,GA,Braselton,13157,['Jackson'],34.107716,-83.76219,,rec0Uk6TyhFC71C0H
Harris County Sheriff's Office - Criminal Law Division - TX,Harris County Sheriff's Office - Criminal Law Division,http://www.harriscountyso.org/,county,TX,Houston,48201,['Harris'],29.76208,-95.35772,,rec0UpAbSw9XyDMwV
Hagerman Department of Public Safety - NM,Hagerman Department of Public Safety,,local,NM,Hagerman,35057,['Torrance'],,,,rec0UvEaGBq3xZXLS
Euharlee Police Department - GA,Euharlee Police Department,http://www.euharlee.com/departments_police.aspx,local,GA,Kingston,13015,['Bartow'],34.1473,-84.93677,,rec0V2IAU7rC7VlD7
Fountain Valley Police Department - CA,Fountain Valley Police Department,https://fountainvalley.org/1307/Police-Department,local,CA,Fountain Valley,06059,['Orange'],33.70864,-117.9522,,rec0VBnLFU9xIZSgB
Lone Peak Public Safety District - Police - UT,Lone Peak Public Safety District - Police,,local,UT,Highland,49049,['Utah'],,,,rec0VFgh60Xmimql9
New Hanover County Sheriff's Office - Castle Hayne - NC,New Hanover County Sheriff's Office - Castle Hayne,https://www.newhanoversheriff.com/,county,NC,Castle Hayne,37129,['New Hanover'],34.327168,-77.895744,,rec0VKFf6fOSjbyGs
Miami Police Department - Overtown NET - FL,Miami Police Department - Overtown NET,http://www.miami-police.org/index.asp,local,FL,Miami,12086,['Miami-Dade'],25.78946,-80.20044,,rec0VW8kOIiMLD6sA
Nevada County Sheriff's Office - AR,Nevada County Sheriff's Office,http://www.nevadasheriff.org/,county,AR,Prescott,05099,['Nevada'],33.80178,-93.377975,,rec0VzMQ8wHAAyYDH
Fort Cobb Police Department - OK,Fort Cobb Police Department,https://www.countyoffice.org/fort-cobb-police-department-fort-cobb-ok-a98/,local,OK,Fort Cobb,40015,['Caddo'],35.09776,-98.43482,,rec0WMtVSvv7wuBnQ
Sacramento County Sheriff - Walnut Grove Service Center - CA,Sacramento County Sheriff - Walnut Grove Service Center,,county,CA,Walnut Grove,06067,['Sacramento'],38.24158,-121.51245,,rec0WQIYxyhwTq3eK
Bronson Police Department - MI,Bronson Police Department,http://www.bronson-mi.com/departments/police,local,MI,Bronson,26023,['Branch'],41.87171,-85.19496,,rec0WjFrYgh7oqa3p
Madison County Sheriff's Office - AR,Madison County Sheriff's Office,https://www.mcso.ar.gov/,county,AR,Richmond,21151,['Madison'],37.748695,-84.29419,,rec0WwaDNyTSf9O5v
Elizabethtown Police Department - IN,Elizabethtown Police Department,https://elizabethtownky.org/police-department/,local,IN,Elizabethtown,21093,['Hardin'],37.69125,-85.86306,,rec0X535n26eVQ9eb
Orange County Sheriff's Department - San Juan Capistrano Police Services - CA,Orange County Sheriff's Department - San Juan Capistrano Police Services,https://www.facebook.com/OCSDSanJuanCap,county,CA,San Juan Capistrano,06059,['Orange'],33.49188,-117.66545,,rec0XE7MYNyTG6M4q
Jacinto City Police Department - TX,Jacinto City Police Department,http://www.jacintocity-tx.gov/police-department/,local,TX,Houston,48201,['Harris'],29.76778,-95.2439,,rec0XGD5PBUWYDAZy
Fremont County Sheriff's Office Riverton - WY,Fremont County Sheriff's Office Riverton,,county,WY,Riverton,56013,['Fremont'],43.01665,-108.38128,,rec0XV2O6rMSXEVDe
Hobart - Lawrence Police Department - WI,Hobart - Lawrence Police Department,https://www.facebook.com/HobartLawrencePolice,local,WI,Green Bay,55009,['Brown'],44.49911,-88.14932,,rec0XWBMhjsPbMO5X
Beaver Police Department - OK,Beaver Police Department,https://www.facebook.com/Beaver-Police-Department-101913044505894/,local,OK,Beaver,40007,['Beaver'],36.81634,-100.52018,,rec0XZ8l0qAmoKpyz
Yerington Paiute Tribal Police Department - NV,Yerington Paiute Tribal Police Department,,local,NV,Yerington,32019,['Lyon'],,,,rec0XZAvQ46d8tQkS
Three Oaks Police Department - MI,Three Oaks Police Department,http://www.threeoaksvillage.org/departments/police/index.php,local,MI,Three Oaks,26021,['Berrien'],41.801666,-86.61056,,rec0XsLIgjNCxkcDR
San Ysidro Police Department - NM,San Ysidro Police Department,,local,NM,San Ysidro,35043,['Sandoval'],35.55697,-106.77288,,rec0Y3ABEP8G7ZygP
Glendale Police Department - AZ,Glendale Police Department,https://www.glendaleaz.com/Live/City_Services/Public_Safety/Police_Department,local,AZ,Glendale,04013,['Maricopa'],33.537598,-112.18211,,rec0Y6C4Pz2OPZPo2
Mentor Police Department - OH,Mentor Police Department,http://www.cityofmentor.com/live/police,local,OH,Mentor,39085,['Lake'],41.69849,-81.334595,,rec0YuuNO5sQRcHPY
Utah State Fire Marshal - UT,Utah State Fire Marshal,http://firemarshal.utah.gov/,state,UT,Salt Lake City,,,,,,rec0Z5nEKYwfmkDnK
Massac County Sheriff's Office - IL,Massac County Sheriff's Office,http://massacsheriffsdept.com/index.html,county,IL,Metropolis,17127,['Massac'],37.152733,-88.73323,,rec0ZGDQc8VhMeWTM
Harveys Lake Borough Police Department - PA,Harveys Lake Borough Police Department,,local,PA,Harveys Lake,42079,['Luzerne'],41.35064,-76.02914,,rec0ZHz3enqtLwqrc
Dana Police Department - IN,Dana Police Department,https://www.facebook.com/DANAPOLICE/,local,IN,,,,,,,rec0ZxaSwZaYBHLtd
Bollinger County Sheriff's Office - MO,Bollinger County Sheriff's Office,http://bollingercountysheriffsoffice.com/index.html,county,MO,Marble Hill,29017,['Bollinger'],37.305386,-89.97031,,rec0aWr3ux5WXtI8N
Clay County Sheriff's Office - NE,Clay County Sheriff's Office,https://claycounty.ne.gov/webpages/sheriff/sheriff.html,county,NE,Clay Center,31035,['Clay'],40.520935,-98.05378,,rec0aaZMv8lMWeftn
California Bureau of Investigation - Special Agents - CA,California Bureau of Investigation - Special Agents,https://oag.ca.gov/special-agent-recruitment,local,CA,,,,,,,rec0bBasGrBjAXJQ5
Millerburg Police Department - OH,Millerburg Police Department,https://www.millersburgohio.com/about/police-department-activity-reports,local,OH,Millersburg,39075,['Holmes'],40.55444,-81.91873,,rec0bJls6PAFl9YzA
Lookout Mountain Police Department - GA,Lookout Mountain Police Department,,local,GA,Lookout Mountain,13295,['Walker'],,,,rec0bLvIIWLYFNgdV
Cosmos Police Department - MN,Cosmos Police Department,,local,MN,Cosmos,27093,['Meeker'],44.93917,-94.69722,,rec0bTZWIiOyMysF3
York County Sheriff's Office - SC,York County Sheriff's Office,,county,SC,York,45091,['York'],,,,rec0bihxA87Unu7zC
Middletown Police Department - RI,Middletown Police Department,https://middletownri.com/255/Police-Department,local,RI,Middletown,44005,['Newport'],41.5213,-71.2731,,rec0bmhZJT9APdGqp
New Orleans Police Department - LA,New Orleans Police Department,https://www.nola.gov/nopd/,local,LA,New Orleans,22071,['Orleans'],29.960863,-90.09286,,rec0cHhCkS656IOeX
Sanders County Sheriff's Office - MT,Sanders County Sheriff's Office,https://co.sanders.mt.us/departments/sherrifs-office/,county,MT,Thompson Falls,30089,['Sanders'],47.59479,-115.35113,,rec0cIXTyeF7C8ymM
Bryant Police Department - AR,Bryant Police Department,https://www.cityofbryant.com/187/Police-Department,local,AR,Bryant,05125,['Saline'],34.61481,-92.50039,,rec0cONKmbfv9Ulx9
Roseboro Police Department - NC,Roseboro Police Department,https://www.roseboronc.com/publicsafety,local,NC,Roseboro,37163,['Sampson'],34.951885,-78.51061,,rec0cPyDQtamn06sh
Harris County Constable Precinct 2 - TX,Harris County Constable Precinct 2,https://hccp2.com/,county,TX,,,,,,,rec0cbOe6nRxjKspH
